Torque,Speed
0.0810444,299.946
0.0798287,299.947
0.0786313,299.948
0.0774518,299.948
0.0762901,299.949
0.0751457,299.95
0.0740185,299.951
0.0729082,299.951
0.0718146,299.952
0.0707374,299.953
0.0696763,299.954
0.0686312,299.954
0.0676017,299.955
0.0665877,299.956
0.0655889,299.956
0.0646051,299.957
0.063636,299.958
0.0626814,299.958
0.0617412,299.959
0.0608151,299.959
0.0599029,299.96
0.0590043,299.961
0.0581193,299.961
0.0572475,299.962
0.0563888,299.962
0.0555429,299.963
0.0547098,299.964
0.0538891,299.964
0.0530808,299.965
0.0522846,299.965
0.0515003,299.966
0.0507278,299.966
0.0499669,299.967
0.0492174,299.967
0.0484791,299.968
0.0477519,299.968
0.0470357,299.969
0.0463301,299.969
0.0456352,299.97
0.0449507,299.97
0.0442764,299.97
0.0436122,299.971
0.0429581,299.971
0.0423137,299.972
0.041679,299.972
0.0410538,299.973
0.040438,299.973
0.0398314,299.973
0.039234,299.974
0.0386454,299.974
0.0380658,299.975
0.0374948,299.975
0.0369324,299.975
0.0363784,299.976
0.0358327,299.976
0.0352952,299.976
0.0347658,299.977
0.0342443,299.977
0.0337306,299.978
0.0332247,299.978
0.0327263,299.978
0.0322354,299.979
0.0317519,299.979
0.0312756,299.979
0.0308065,299.979
0.0303444,299.98
0.0298892,299.98
0.0294409,299.98
0.0289992,299.981
0.0285643,299.981
0.0281358,299.981
0.0277138,299.982
0.0272981,299.982
0.0268886,299.982
0.0264853,299.982
0.026088,299.983
0.0256967,299.983
0.0253112,299.983
0.0249315,299.983
0.0245576,299.984
0.0241892,299.984
0.0238264,299.984
0.023469,299.984
0.0231169,299.985
0.0227702,299.985
0.0224286,299.985
0.0220922,299.985
0.0217608,299.985
0.0214344,299.986
0.0211129,299.986
0.0207962,299.986
0.0204842,299.986
0.020177,299.987
0.0198743,299.987
0.0195762,299.987
0.0192826,299.987
0.0189933,299.987
0.0187084,299.988
0.0184278,299.988
0.0181514,299.988
0.0178791,299.988
0.0176109,299.988
0.0173468,299.988
0.0170866,299.989
0.0168303,299.989
0.0165778,299.989
0.0163291,299.989
0.0160842,299.989
0.0158429,299.989
0.0156053,299.99
0.0153712,299.99
0.0151407,299.99
0.0149135,299.99
0.0146898,299.99
0.0144695,299.99
0.0142525,299.99
0.0140387,299.991
0.0138281,299.991
0.0136207,299.991
0.0134164,299.991
0.0132151,299.991
0.0130169,299.991
0.0128216,299.991
0.0126293,299.992
0.0124399,299.992
0.0122533,299.992
0.0120695,299.992
0.0118884,299.992
0.0117101,299.992
0.0115344,299.992
0.0113614,299.992
0.011191,299.993
0.0110231,299.993
0.0108578,299.993
0.0106949,299.993
0.0105345,299.993
0.0103765,299.993
0.0102208,299.993
0.0100675,299.993
0.00991652,299.993
